ctr,country,pdi,idv,mas,uai,ltowvs,ivr,isregion
AFE,Africa East,64,27,41,52,32,40,1
AFW,Africa West,77,20,46,54,9,78,1
ARA,Arab countries,80,38,53,68,23,34,1
BEF,Belgium French,67,72,60,93,,,1
BEN,Belgium Netherl,61,78,43,97,,,1
CAF,Canada French,54,73,45,60,,,1
GEE,Germany East,,,,,78,34,1
SAW,South Africa white,49,65,63,49,,,1
SWF,Switzerland French,70,64,58,70,,,1
SWG,Switzerland German,26,69,72,56,,,1
ALB,Albania,,,,,61,15,0
ALG,Algeria,,,,,26,32,0
AND,Andorra,,,,,,65,0
ARG,Argentina,49,46,56,86,20,62,0
ARM,Armenia,,,,,61,,0
AUL,Australia,38,90,61,51,21,71,0
AUT,Austria,11,55,79,70,60,63,0
AZE,Azerbaijan,,,,,61,22,0
BAN,Bangladesh,80,20,55,60,47,20,0
BLR,Belarus,,,,,81,15,0
BEL,Belgium,65,75,54,94,82,57,0
BOS,Bosnia,,,,,70,44,0
BRA,Brazil,69,38,49,76,44,59,0
BUL,Bulgaria,70,30,40,85,69,16,0
BUF,Burkina Faso,,,,,27,18,0
CAN,Canada,39,80,52,48,36,68,0
CHL,Chile,63,23,28,86,31,68,0
CHI,China,80,20,66,30,87,24,0
COL,Colombia,67,13,64,80,13,83,0
COS,Costa Rica,35,15,21,86,,,0
CRO,Croatia,73,33,40,80,58,33,0
CYP,Cyprus,,,,,,70,0
CZE,Czech Rep,57,58,57,74,70,29,0
DEN,Denmark,18,74,16,23,35,70,0
DOM,Dominican Rep,,,,,13,54,0
ECA,Ecuador,78,8,63,67,,,0
EGY,Egypt,,,,,7,4,0
ETH,Ethiopia,,,,,,46,0
SAL,El Salvador,66,19,40,94,20,89,0
EST,Estonia,40,60,30,60,82,16,0
FIN,Finland,33,63,26,59,38,57,0
FRA,France,68,71,43,86,63,48,0
GEO,Georgia,,,,,38,32,0
GER,Germany,35,67,66,65,83,40,0
GHA,Ghana,,,,,4,72,0
GBR,Great Britain,35,89,66,35,51,69,0
GRE,Greece,60,35,57,112,45,50,0
GUA,Guatemala,95,6,37,101,,,0
HOK,Hong Kong,68,25,57,29,61,17,0
HUN,Hungary,46,80,88,82,58,31,0
ICE,Iceland,,,,,28,67,0
IND,India,77,48,56,40,51,26,0
IDO,Indonesia,78,14,46,48,62,38,0
IRA,Iran,58,41,43,59,14,40,0
IRQ,Iraq,,,,,25,17,0
IRE,Ireland,28,70,68,35,24,65,0
ISR,Israel,13,54,47,81,38,,0
ITA,Italy,50,76,70,75,61,30,0
JAM,Jamaica,45,39,68,13,,,0
JPN,Japan,54,46,95,92,88,42,0
JOR,Jordan,,,,,16,43,0
KOR,Korea South,60,18,39,85,100,29,0
KYR,Kyrgyz Rep,,,,,66,39,0
LAT,Latvia,44,70,9,63,69,13,0
LIT,Lithuania,42,60,19,65,82,16,0
LUX,Luxembourg,40,60,50,70,64,56,0
MAC,Macedonia Rep,,,,,62,35,0
MAL,Malaysia,104,26,50,36,41,57,0
MLI,Mali,,,,,20,43,0
MLT,Malta,56,59,47,96,47,66,0
MEX,Mexico,81,30,69,82,24,97,0
MOL,Moldova,,,,,71,19,0
MNG,Montenegro,,,,,75,20,0
MOR,Morocco,70,46,53,68,14,25,0
NET,Netherlands,38,80,14,53,67,68,0
NZL,New Zealand,22,79,58,49,33,75,0
NIG,Nigeria,,,,,13,84,0
NOR,Norway,31,69,8,50,35,55,0
PAK,Pakistan,55,14,50,70,50,0,0
PAN,Panama,95,11,44,86,,,0
PER,Peru,64,16,42,87,25,46,0
PHI,Philippines,94,32,64,44,27,42,0
POL,Poland,68,60,64,93,38,29,0
POR,Portugal,63,27,31,104,28,33,0
PUE,Puerto Rico,,,,,0,90,0
ROM,Romania,90,30,42,90,52,20,0
RUS,Russia,93,39,36,95,81,20,0
RWA,Rwanda,,,,,18,37,0
SAU,Saudi Arabia,,,,,36,52,0
SER,Serbia,86,25,43,92,52,28,0
SIN,Singapore,74,20,48,8,72,46,0
SLK,Slovak Rep,104,52,110,51,77,28,0
SLV,Slovenia,71,27,19,88,49,48,0
SAF,South Africa,,,,,34,63,0
SPA,Spain,57,51,42,86,48,44,0
SUR,Suriname,85,47,37,92,,,0
SWE,Sweden,31,71,5,29,53,78,0
SWI,Switzerland,34,68,70,58,74,66,0
TAI,Taiwan,58,17,45,69,93,49,0
TAN,Tanzania,,,,,34,38,0
THA,Thailand,64,20,34,64,32,45,0
TRI,Trinidad and Tobago,47,16,58,55,13,80,0
TUR,Turkey,66,37,45,85,46,49,0
USA,U.S.A.,40,91,62,46,26,68,0
UGA,Uganda,,,,,24,52,0
UKR,Ukraine,,,,,86,14,0
URU,Uruguay,61,36,38,100,26,53,0
VEN,Venezuela,81,12,73,76,16,100,0
VIE,Vietnam,70,20,40,30,57,35,0
ZAM,Zambia,,,,,30,42,0
ZIM,Zimbabwe,,,,,15,28,0
